3228;1;京原路;LINE;1;EAST;116.130260;39.888010;116.162910;39.887120
3227;0;京原路;LINE;3;WEST;116.162910;39.887120;116.130260;39.888010
3229;1;京原路;LINE;4;SOUTH;116.162910;39.887120;116.163630;39.886290
3228;0;京原路;LINE;2;NORTH;116.163630;39.886290;116.162910;39.887120
3230;1;京原路;LINE;1;EAST;116.163630;39.886290;116.183230;39.892300
3229;0;京原路;LINE;3;WEST;116.183230;39.892300;116.163630;39.886290
3231;1;京原路;LINE;1;EAST;116.183230;39.892300;116.190600;39.889020
3230;0;京原路;LINE;3;WEST;116.190600;39.889020;116.183230;39.892300
3232;1;京原路;LINE;1;EAST;116.190600;39.889020;116.204790;39.889090
3231;0;京原路;LINE;3;WEST;116.204790;39.889090;116.190600;39.889020
3233;1;京原路;LINE;2;NORTH;116.204790;39.889090;116.210660;39.896760
3232;0;京原路;LINE;4;SOUTH;116.210660;39.896760;116.204790;39.889090
3234;1;京原路;LINE;2;NORTH;116.210660;39.896760;116.210900;39.903840
3233;0;京原路;LINE;4;SOUTH;116.210900;39.903840;116.210660;39.896760
3235;1;京原路;LINE;2;NORTH;116.210900;39.903840;116.210840;39.907430
3234;0;京原路;LINE;4;SOUTH;116.210840;39.907430;116.210900;39.903840
3251;1;Ｇ１０９;LINE;1;EAST;116.007960;40.006710;116.094190;39.996100
3250;0;Ｇ１０９;LINE;3;WEST;116.094190;39.996100;116.007960;40.006710
3252;1;Ｇ１０９;LINE;4;SOUTH;116.094190;39.996100;116.106690;39.960850
3251;0;Ｇ１０９;LINE;2;NORTH;116.106690;39.960850;116.094190;39.996100
2218;1;金顶西街;LINE;2;NORTH;116.161120;39.924610;116.159510;39.929760
2217;0;金顶西街;LINE;4;SOUTH;116.159510;39.929760;116.161120;39.924610
2208;1;三家店东街;LINE;1;EAST;116.106690;39.960850;116.110790;39.962150
2207;0;三家店东街;LINE;3;WEST;116.110790;39.962150;116.106690;39.960850
2211;1;石门路;LINE;1;EAST;116.110790;39.962150;116.131190;39.949970
2210;0;石门路;LINE;3;WEST;116.131190;39.949970;116.110790;39.962150
2212;1;石门路;LINE;1;EAST;116.131190;39.949970;116.159510;39.929760
2211;0;石门路;LINE;3;WEST;116.159510;39.929760;116.131190;39.949970
4877;1;Ｇ１辅路;LINE;1;EAST;116.510550;39.870580;116.513680;39.870510
4876;0;Ｇ１辅路;LINE;3;WEST;116.513680;39.870510;116.510550;39.870580
4878;1;Ｇ１辅路;LINE;1;EAST;116.513680;39.870510;116.530710;39.869720
4877;0;Ｇ１辅路;LINE;3;WEST;116.530710;39.869720;116.513680;39.870510
4879;1;Ｇ１辅路;LINE;1;EAST;116.530710;39.869720;116.548620;39.869010
4878;0;Ｇ１辅路;LINE;3;WEST;116.548620;39.869010;116.530710;39.869720
5116;1;Ｇ１辅路;LINE;1;EAST;116.548620;39.869010;116.573430;39.868060
4879;0;Ｇ１辅路;LINE;3;WEST;116.573430;39.868060;116.548620;39.869010
4874;1;Ｇ１辅路;LINE;1;EAST;116.488870;39.871200;116.510550;39.870580
